Código,Nombre ES,Categoría ES,Costo 1688 CLP,Precio alila CLP,Precio ML (llenar),Link MercadoLibre
6000103,Llave monomando lavaplatos extensible profesional niquel,Construcción>Mobiliario para Baños,6807.0,8797.0,,https://articulo.mercadolibre.cl/MLC-616295317-llave-monomando-lavaplatos-extensible-profesional-niquel-_JM#reco_item_pos=17&reco_backend=be
6003102,Llave ducha tina columna monomando negro mate cuadrada,Construcción>Mobiliario para Baños,15577.0,29206.0,,https://articulo.mercadolibre.cl/MLC-1566630671-llave-ducha-tina-columna-monomando-negro-mate-cuadrada-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=648ec934-ae11-4936-af82-eb625b2f175e&wid=MLC1566630671&sid=search
6002443,Llave grifo agua caliente electrica lavaplatos 6032 color blanco,Construcción>Mobiliario para Baños,6283.0,7800.0,,https://www.mercadolibre.cl/llave-grifo-agua-caliente-electrica-lavaplatos-6032-color-blanco/p/MLC25843939#reco_item_pos=4&reco_backend=best
6003803,Juego de accesorios para bano skbe 304 de acero,Construcción>Mobiliario para Baños,4974.0,9990.0,,https://www.mercadolibre.cl/-juego-de-accesorios-para-bano-skbe-304-de-acero/p/MLC2023845998#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=d870c2e0-5e55-4dac-9737-29d6ed53e497&wid=MLC3323933712&sid=search
6003804,Juego de accesorios para bano skbe 304 de acero,Construcción>Mobiliario para Baños,4974.0,9990.0,,https://www.mercadolibre.cl/-juego-de-accesorios-para-bano-skbe-304-de-acero/p/MLC2023845998#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=d870c2e0-5e55-4dac-9737-29d6ed53e497&wid=MLC3323933712&sid=search
6003265,1,Construcción>Mobiliario para Baños,7854.0,11984.0,,https://www.temu.com/us-zh-Hans/4-%E4%BB%B6%E8%A3%85%E7%89%B9%E5%A4%A7%E6%B5%B4%E5%B7%BE%E5%A5%97%E8%A3%85-35-x70-%E8%B6%85%E5%A4%A7%E6%AF%9B%E5%B7%BE%E8%B6%85%E7%BB%86%E7%BA%A4%E7%BB%B4%E5%90%B8%E6%B0%B4-xl-%E6%B5%B4%E5%B7%BE%E8%B6%85%E6%9F%94%E8%BD%AF%E6%B5%B4%E5%AE%A4%E6%AF%9B%E5%B7%BE%E5%A5%97%E8%A3%85%E9%80%9F%E5%B9%B2%E5%8A%A0%E5%A4%A7%E5%B0%BA%E5%AF%B8%E6%B7%8B%E6%B5%B4%E6%AF%9B%E5%B7%BE-%E9%80%82%E5%90%88%E5%AE%B6%E5%BA%AD%E9%85%92%E5%BA%97-g-601099620646214.html?_oak_mp_inf=EMb688qm1ogBGiBmMDlmNzAxZTQ0NGI0OGVkYjMzNjNiOTdkMTJlYWY2MCDasvrs2jI%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F0c8252ea-d8aa-40c4-bcff-8b85de76f605.jpg&spec_gallery_id=601099620646214&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzQ3OA&_oak_gallery_order=1841474687%2C1584546193%2C302395025%2C379131229%2C1260690758&bottom_rec_bypass=%7B%22disableDealsTab%22%3A%22false%22%7D&search_key=4%E6%9D%A1%E8%A3%85%E6%B5%B4%E5%B7%BE&refer_page_el_sn=200049&_x_sessn_id=6fchkfa3nz&refer_page_name=search_result&refer_page_id=10009_1742374609630_w3rp8afmgn
6000107,Kit ducha telefono manguera soporte cromado,Construcción>Mobiliario para Baños,920.0,1196.0,,https://articulo.mercadolibre.cl/MLC-1131444293-kit-ducha-telefono-manguera-soporte-cromado-_JM?variation=175657923616#reco_item_pos=2&reco_
6003842,IRON SHELF,Construcción>Mobiliario para Cocinas,5427.0,11790.0,,https://www.temu.com/cl/escurridor-de-platos--para-fregadero-de-cocina-65-cm-de-largo--capa-con--organizador-de-utensilios-ahorrador-de--material--capacidad-de-carg-kg--65-cm-za0171014-escurridor-de-platos-organizacion--estante-de--capa-almacenamiento-g-601104374297753.html?_oak_mp_inf=EJnpz6W41ogBGiAzNGM4MGI3YjBkMjI0YmNkYThiYzM0ODcyM2NlOTdiOSCyo%2FfaoDM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F40697bc576714496b1d318a6deed0879-goods.jpeg&spec_gallery_id=22135116050&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=Mjc0NzM&_oak_gallery_order=733039860%2C1779594683%2C1024063621%2C500607256%2C1711191057&search_key=%E5%B8%A6%E7%9B%96%E5%8D%95%E5%B1%82%E6%B2%A5%E6%B0%B4%E7%A2%97%E6%9E%B665cm&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1761126720440_mj37hfa5ri&_x_sessn_id=bharf4ufby
6003522,Escurridor de platos de 85 cm en acero inoxidable,Construcción>Mobiliario para Cocinas,6152.0,12190.0,,https://www.mercadolibre.cl/escurridor-de-platos-de-85-cm-en-acero-inoxidable/up/MLCU3180060951#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=8220abd6-0538-4b47-958a-48ca91948a91&wid=MLC1613725523&sid=search
6000437,Soporte de cabezal de ducha ajustable soporte de pared auto,Hogar y Muebles>Baños,196.0,375.0,,https://www.mercadolibre.cl/soporte-de-cabezal-de-ducha-ajustable-soporte-de-pared-auto/p/MLC2011200207#polycard_client=search-nordic&searchVariation=MLC2011200207&position=6&search_layout=grid&type=product&tracking_id=0b38b3ed-5086-42e0-a42a-3fa2ba6bad8b&wid=MLC1609405111&sid=search
